Component,Quantity Per PCB,References,Value,MPN1,MPN2,Footprint,Population
1,3,C7 C13 C14,100 nF,CC0805KRX7R7BB104,,C_0805_2012Metric,
2,5,C3 C5 C8 C11 C12,1 uF,C2012X5R1E105M125AA,,C_0805_2012Metric,
3,1,C2,10 uF,AFK106M25B12T-F,,CP_Elec_4x5.8,
4,1,C4,10 uF,GRM21BC81C106ME15L,,C_0805_2012Metric,
5,2,C1 C6,100 uF,UWR1A101MCL1GB,,CP_Elec_5x5.4,
6,2,C9 C10,330 uF,UWT1A102MNL1GS,,CP_Elec_6.3x7.7,
7,2,D1 D2,,597-6901-607F,,LED_0805_2012Metric,
8,2,D4 D5,SS34,SS34FA,,D_SOD-123,
9,1,D3,STATUS,APT2012EC,,LED_0805_2012Metric,
10,3,J1 J4 J5,5V_IN,,,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",
11,1,J2,RF_RX,,,PinSocket_1x04_P2.54mm_Vertical,
12,1,J3,SERIAL+GPIO,,,PinSocket_1x10_P2.54mm_Vertical,
13,4,Q1 Q2 Q3 Q4,IRF7319TRPBF,IRF7319TRPBF,,SOIC-8_3.9x4.9mm_P1.27mm,
14,1,R2,10,RC0805FR-0710RL,,R_0805_2012Metric,
15,8,R9 R10 R11 R12 R13 R14 R15 R16,100,RC0805FR-07100RL,,R_0805_2012Metric,
16,2,R3 R4,1K,RC0805FR-071KL,,R_0805_2012Metric,
17,4,R17 R18 R19 R20,4K7,RC0805FR-074K7L,,R_0805_2012Metric,
18,1,R1,8K2,RT0805FRE078K2L,,R_0805_2012Metric,
19,4,R5 R6 R7 R8,10K,RC0805FR-0710KL,,R_0805_2012Metric,
20,2,SW1 SW2,,KMR221GLFS,,SW_Push_1P1T_NO_CK_KMR2,
21,2,U3 U4,AP2112K-2.5,AP2112K-2.5,,SOT-23-5,
22,1,U2,AP2112K-3.3,AP2112K-3.3,,SOT-23-5,
23,1,U1,ESP32-WROOM-32D,ESP32-WROOM-32D-N4,,ESP32-WROOM-32,